Student ID,Gender,Race/Ethnicity,Parental Education,Lunch Type,Test Preparation,Study Time per Week,Daily Sleep Duration,Math Score,Reading Score,Writing Score,School Type,Internet Access
116,female,group D,high school,free/reduced,True,11.5,5.8,63.0,77.0,91.0,public,True
117,female,group E,some college,free/reduced,True,7.2,6.9,82.0,77.0,,public,True
118,male,group B,high school,free/reduced,True,5.6,7.7,71.0,88.0,74.0,public,True
119,female,group C,bachelor degree,free/reduced,True,13.0,7.5,60.0,73.0,76.0,public,True
120,female,group C,some college,free/reduced,False,14.0,,59.0,52.0,76.0,public,True
121,female,group E,bachelor degree,standard,False,8.9,6.6,65.0,77.0,42.0,private,True
122,female,group E,some college,standard,False,,8.2,84.0,83.0,71.0,public,True
123,female,group D,,free/reduced,True,9.2,,83.0,63.0,58.0,public,False
124,female,group C,associate degree,standard,True,5.4,7.4,65.0,47.0,62.0,private,False
125,female,group B,some college,standard,True,9.9,7.2,70.0,70.0,53.0,public,True
126,male,group B,associate degree,standard,False,0.2,8.4,51.0,75.0,62.0,public,True
127,female,group A,high school,standard,False,6.1,9.0,56.0,29.0,72.0,public,True
128,male,group C,associate degree,standard,False,5.0,,45.0,73.0,64.0,private,True
129,female,group E,high school,standard,False,21.4,10.4,54.0,76.0,95.0,public,True
130,female,group A,bachelor degree,standard,False,11.8,7.4,38.0,99.0,87.0,public,False
131,female,group C,bachelor degree,standard,True,10.5,7.7,87.0,,37.0,public,True
132,female,group E,master degree,standard,True,17.4,7.9,81.0,,75.0,private,True
133,male,group A,some college,free/reduced,False,19.4,5.8,100.0,71.0,75.0,public,False
134,female,group C,associate degree,free/reduced,False,12.0,7.0,89.0,77.0,,public,False
135,female,group A,associate degree,standard,True,5.8,6.4,67.0,75.0,68.0,public,True
136,male,group D,associate degree,standard,False,0.5,4.7,59.0,69.0,83.0,public,True
137,female,group C,,standard,False,5.4,7.2,80.0,63.0,74.0,public,True
138,male,group E,high school,standard,False,8.9,4.7,94.0,53.0,75.0,public,True
139,male,group C,associate degree,free/reduced,False,21.0,6.9,54.0,76.0,51.0,private,False
140,male,group D,high school,standard,False,7.6,8.7,75.0,44.0,54.0,public,True
141,male,group A,associate degree,free/reduced,True,2.1,5.6,61.0,100.0,72.0,public,True
142,male,group C,associate degree,standard,False,9.1,7.1,97.0,,54.0,public,False
143,male,group A,,,True,4.0,5.9,70.0,95.0,78.0,public,True
144,male,group D,some college,free/reduced,False,0.4,8.6,79.0,,89.0,private,True
145,male,group E,associate degree,standard,True,9.8,7.0,67.0,76.0,,public,True
146,male,group B,bachelor degree,standard,True,8.0,6.3,71.0,68.0,68.0,private,True
147,male,group D,bachelor degree,free/reduced,False,8.6,7.2,45.0,64.0,77.0,public,False
148,male,group D,high school,standard,True,18.0,8.2,61.0,81.0,62.0,public,True
149,male,group C,some college,standard,True,11.3,8.0,84.0,57.0,58.0,private,True
150,female,group E,,standard,False,8.3,10.0,86.0,75.0,94.0,public,True
151,male,group A,some college,standard,False,8.3,8.1,99.0,95.0,68.0,international,True
152,male,group E,some college,standard,False,,6.7,64.0,70.0,56.0,private,True
153,female,group B,associate degree,standard,False,8.3,9.1,78.0,43.0,79.0,public,True
154,male,group D,high school,standard,False,9.6,8.5,95.0,65.0,73.0,public,True
155,female,group E,master degree,standard,True,4.8,11.0,77.0,55.0,45.0,private,False
156,female,group C,,standard,False,4.6,6.8,85.0,67.0,73.0,public,True
157,female,group D,,standard,True,8.4,6.9,78.0,47.0,64.0,public,True
158,male,group A,some college,free/reduced,True,3.1,10.8,66.0,,98.0,public,False
159,female,group E,bachelor degree,standard,False,8.0,5.7,70.0,66.0,75.0,public,True
160,male,group E,,standard,True,12.6,6.3,63.0,63.0,82.0,public,True
161,female,group B,bachelor degree,standard,False,4.1,8.0,74.0,74.0,69.0,public,True
162,female,group C,high school,free/reduced,True,6.1,6.7,94.0,72.0,74.0,private,True
163,male,group B,high school,standard,True,6.5,5.1,70.0,69.0,58.0,public,True
164,male,group C,associate degree,standard,False,4.3,,80.0,57.0,87.0,public,True
165,female,group C,high school,standard,True,14.2,6.4,66.0,68.0,70.0,private,True
166,male,group B,high school,free/reduced,True,,6.2,11.0,77.0,70.0,private,True
167,male,group E,some college,standard,False,10.8,6.7,100.0,71.0,75.0,public,True
168,male,group B,some college,standard,False,10.9,6.8,95.0,69.0,65.0,public,True
169,female,group D,some college,standard,False,1.0,6.9,61.0,65.0,64.0,public,True
170,female,group E,high school,standard,False,10.8,4.3,65.0,55.0,71.0,private,True
171,female,group B,high school,standard,False,5.5,8.3,95.0,71.0,63.0,private,True
172,male,group E,high school,standard,False,8.3,6.1,83.0,90.0,77.0,public,False
173,female,group C,high school,standard,False,17.5,9.7,42.0,74.0,78.0,public,True
174,female,group D,some college,free/reduced,True,,,41.0,79.0,74.0,international,True
175,male,group E,high school,standard,True,9.3,7.7,77.0,61.0,81.0,international,True
176,female,group D,associate degree,standard,True,14.5,7.8,91.0,77.0,69.0,international,True
177,male,group C,associate degree,free/reduced,False,8.8,8.5,65.0,86.0,,international,True
178,male,group A,some college,free/reduced,False,8.1,,76.0,63.0,70.0,public,True
179,male,group C,high school,standard,True,13.2,8.2,100.0,74.0,83.0,public,True
180,male,group B,some college,standard,True,9.8,7.8,48.0,59.0,72.0,private,True
181,female,group C,bachelor degree,free/reduced,False,,8.5,72.0,66.0,75.0,public,True
182,female,group E,high school,standard,True,7.7,8.3,89.0,100.0,82.0,public,True
183,female,group C,high school,,True,9.3,7.4,66.0,50.0,57.0,private,True
184,female,group D,associate degree,free/reduced,True,,7.3,66.0,44.0,74.0,public,True
185,male,group B,,free/reduced,True,13.2,8.6,64.0,85.0,50.0,private,True
186,female,group E,high school,free/reduced,True,15.8,6.9,65.0,82.0,68.0,international,True
187,male,group B,bachelor degree,standard,False,1.3,9.6,62.0,,73.0,public,False
188,male,group D,associate degree,free/reduced,True,0.4,7.7,67.0,69.0,98.0,public,False
189,female,group E,associate degree,standard,True,8.8,11.0,81.0,61.0,52.0,public,False
190,male,group C,master degree,standard,True,6.6,5.7,75.0,86.0,62.0,public,True
191,male,group C,bachelor degree,free/reduced,True,11.3,6.9,63.0,89.0,79.0,public,True
192,female,group E,some college,standard,True,7.5,9.6,68.0,84.0,96.0,public,True
193,male,group B,associate degree,standard,True,12.0,7.5,100.0,77.0,65.0,private,
194,male,group C,,free/reduced,True,22.5,8.5,61.0,82.0,52.0,public,True
195,male,group D,high school,free/reduced,False,,7.9,85.0,74.0,68.0,public,True
196,male,group D,associate degree,standard,False,14.8,6.8,88.0,71.0,61.0,public,True
197,female,group D,some college,standard,False,14.8,6.7,67.0,62.0,91.0,private,True
198,female,group C,high school,standard,False,8.2,8.7,62.0,74.0,84.0,public,False
199,female,group B,master degree,standard,False,12.3,8.2,89.0,68.0,83.0,private,True
200,female,group C,high school,standard,False,0.0,7.6,66.0,63.0,58.0,public,True
201,female,group C,associate degree,free/reduced,False,5.5,9.2,73.0,76.0,55.0,private,True
202,female,group E,associate degree,free/reduced,True,14.1,8.3,60.0,72.0,79.0,public,True
203,male,group C,bachelor degree,free/reduced,False,6.7,8.9,92.0,65.0,,public,True
204,male,group E,associate degree,standard,False,10.9,8.5,52.0,54.0,94.0,private,True
205,female,group B,high school,standard,False,7.4,7.0,49.0,46.0,91.0,private,True
206,male,group C,,free/reduced,True,,6.0,71.0,69.0,66.0,private,True
207,female,group B,associate degree,free/reduced,False,11.3,8.5,85.0,84.0,,public,True
208,female,group C,some college,standard,False,8.1,9.8,85.0,77.0,88.0,private,False
209,female,group D,associate degree,free/reduced,False,5.6,3.0,95.0,83.0,65.0,public,True
210,male,group E,,free/reduced,True,5.8,6.1,75.0,54.0,66.0,public,True
211,female,group B,high school,standard,True,2.3,9.5,84.0,46.0,100.0,public,True
212,male,group D,some college,standard,True,8.1,7.1,43.0,53.0,62.0,public,True
213,male,group B,bachelor degree,standard,True,,8.5,63.0,64.0,50.0,public,True
214,female,group E,master degree,standard,False,11.2,5.2,43.0,62.0,97.0,public,True
215,female,group D,associate degree,standard,True,17.1,8.6,73.0,76.0,65.0,private,False
216,male,group B,high school,standard,True,9.3,,74.0,43.0,94.0,public,True
217,female,group E,high school,standard,False,11.0,,65.0,76.0,56.0,private,True
218,male,group C,some college,standard,False,19.6,7.2,56.0,54.0,88.0,private,True
219,female,group B,some college,standard,False,8.7,7.4,69.0,64.0,72.0,public,True
220,male,group C,associate degree,standard,False,11.1,8.9,72.0,71.0,100.0,international,True
221,female,group B,high school,free/reduced,True,7.0,6.1,52.0,71.0,90.0,international,True
222,male,group C,high school,standard,True,17.1,6.4,40.0,66.0,56.0,public,True
223,male,group D,some college,standard,False,0.5,7.2,67.0,58.0,78.0,private,
224,male,group C,high school,standard,False,19.2,7.7,78.0,77.0,64.0,public,True
225,male,group B,,free/reduced,True,18.0,7.0,59.0,59.0,84.0,public,True
226,female,group C,associate degree,free/reduced,False,9.9,5.5,83.0,88.0,80.0,public,True
227,male,group E,associate degree,standard,True,9.1,7.3,74.0,,64.0,public,True
228,male,group D,bachelor degree,free/reduced,False,3.0,8.2,66.0,72.0,66.0,public,False
229,female,group B,,free/reduced,True,,5.8,66.0,68.0,76.0,public,True
230,female,group E,associate degree,free/reduced,True,0.6,8.8,46.0,,33.0,public,True
231,female,group D,master degree,standard,True,5.1,7.0,97.0,64.0,86.0,public,True
232,male,group C,bachelor degree,standard,False,10.4,8.2,64.0,56.0,68.0,public,False
233,female,group D,high school,free/reduced,True,9.2,6.8,92.0,74.0,54.0,public,True
234,female,group D,master degree,standard,True,7.6,7.3,71.0,84.0,68.0,public,True
235,female,group E,some college,standard,False,,6.6,83.0,77.0,53.0,international,True
236,male,group B,bachelor degree,standard,True,5.7,9.1,84.0,64.0,74.0,public,True
237,female,group B,associate degree,standard,False,3.3,8.5,87.0,79.0,84.0,private,False
238,male,group E,,free/reduced,True,8.1,5.4,80.0,56.0,65.0,public,True
239,male,group B,high school,standard,False,,9.8,78.0,49.0,89.0,international,True
240,male,group B,associate degree,standard,False,11.2,,89.0,100.0,61.0,public,True
241,male,group E,high school,standard,True,7.2,6.8,62.0,67.0,76.0,international,True
242,female,group C,some college,,False,6.3,,56.0,76.0,,public,False
243,male,group E,bachelor degree,free/reduced,True,5.2,8.3,44.0,75.0,77.0,international,True
244,male,group A,associate degree,standard,True,4.5,8.2,63.0,96.0,95.0,public,True
245,female,group C,high school,standard,False,9.9,6.0,64.0,,74.0,private,True
246,male,group B,,standard,False,11.4,,100.0,70.0,42.0,public,False
247,male,group C,master degree,standard,False,6.9,,64.0,72.0,95.0,public,True
248,male,group D,some college,standard,False,4.0,8.7,75.0,47.0,70.0,public,
249,female,group D,,standard,False,,6.6,51.0,64.0,43.0,public,True
250,female,group E,,standard,False,9.7,,65.0,83.0,71.0,private,True
251,female,group D,master degree,free/reduced,False,10.5,6.1,70.0,73.0,63.0,private,True
252,female,group C,,standard,True,9.4,6.6,51.0,74.0,36.0,public,True
253,male,group C,some college,free/reduced,False,15.5,9.4,75.0,76.0,87.0,public,True
254,female,group E,high school,,False,2.1,8.8,66.0,77.0,46.0,public,False
255,female,group A,associate degree,free/reduced,True,1.9,9.2,72.0,91.0,75.0,public,False
256,female,group C,bachelor degree,free/reduced,True,4.0,7.0,77.0,55.0,65.0,private,True
257,female,group C,master degree,standard,True,9.5,8.5,71.0,64.0,74.0,public,False
258,male,group E,some college,free/reduced,True,12.1,7.7,64.0,71.0,70.0,public,True
259,male,group E,master degree,free/reduced,False,14.0,8.8,65.0,58.0,84.0,private,True
260,female,group E,high school,standard,False,11.2,7.1,78.0,68.0,76.0,private,True
261,female,group A,,standard,True,,4.4,82.0,67.0,82.0,public,True
262,male,group B,associate degree,free/reduced,False,17.1,7.0,77.0,59.0,79.0,public,True
263,male,group B,,free/reduced,True,8.8,6.2,100.0,71.0,70.0,public,True
264,male,group E,some college,free/reduced,False,15.9,7.4,61.0,93.0,72.0,public,True
265,female,group B,high school,standard,False,0.0,7.7,80.0,94.0,85.0,public,True
266,female,group A,high school,standard,False,17.5,5.3,60.0,57.0,63.0,private,True
267,female,group B,high school,standard,False,15.0,8.7,61.0,66.0,74.0,private,True
268,female,group C,associate degree,standard,True,2.8,6.8,53.0,95.0,85.0,private,True
269,male,group D,high school,standard,False,,8.3,46.0,89.0,75.0,private,True
270,female,group A,high school,standard,True,12.7,8.4,50.0,66.0,85.0,international,True
271,male,group E,bachelor degree,standard,False,6.4,7.6,71.0,65.0,79.0,public,True
272,female,group E,high school,standard,True,,7.4,66.0,,62.0,public,True
273,male,group B,,standard,False,14.2,7.2,70.0,79.0,82.0,public,True
274,female,group D,high school,standard,False,1.8,9.9,74.0,100.0,66.0,public,True
275,female,group E,some college,free/reduced,True,15.7,7.9,76.0,87.0,94.0,public,False
276,male,group D,associate degree,standard,True,,7.8,50.0,49.0,65.0,public,True
277,female,group E,some college,standard,False,,6.9,58.0,72.0,79.0,public,True
278,male,group E,high school,standard,False,11.6,,56.0,77.0,76.0,private,True
279,male,group E,some college,standard,True,8.4,9.4,87.0,97.0,57.0,public,True
280,female,group A,high school,standard,True,8.8,7.5,79.0,81.0,59.0,public,True
281,female,group D,some college,free/reduced,False,15.5,6.9,67.0,80.0,58.0,private,True
282,male,group B,associate degree,free/reduced,False,14.6,8.8,83.0,63.0,,public,True
283,female,group E,,standard,True,8.9,7.0,84.0,65.0,62.0,private,False
284,female,group A,some college,standard,False,9.0,5.6,47.0,51.0,78.0,public,
285,male,group B,bachelor degree,free/reduced,True,9.3,6.8,80.0,89.0,68.0,public,True
286,male,group B,high school,standard,False,12.9,6.3,79.0,79.0,68.0,private,True
287,male,group E,associate degree,free/reduced,False,19.7,7.1,79.0,,81.0,private,True
288,male,group C,bachelor degree,standard,True,11.4,7.5,68.0,67.0,65.0,public,True
289,female,group D,some college,standard,True,,,80.0,69.0,65.0,public,True
290,female,group C,bachelor degree,standard,True,13.3,9.2,66.0,65.0,79.0,international,True
291,female,group A,associate degree,free/reduced,False,16.6,7.5,68.0,62.0,59.0,public,True
292,female,group E,some college,standard,True,2.1,6.7,49.0,75.0,58.0,public,True
293,male,group C,high school,free/reduced,True,13.9,,45.0,71.0,71.0,private,True
294,male,group C,some college,standard,False,5.5,7.7,41.0,73.0,,private,False
295,male,group E,,standard,False,,7.5,31.0,86.0,51.0,private,True
296,male,group D,some college,free/reduced,False,11.7,7.2,72.0,80.0,39.0,private,True
297,male,group B,some college,standard,False,9.1,,39.0,66.0,48.0,private,True
298,female,group D,some college,standard,True,,6.4,60.0,65.0,79.0,private,True
299,male,group C,bachelor degree,standard,True,,7.5,80.0,58.0,60.0,public,True
300,male,group B,high school,standard,True,6.2,7.3,78.0,,72.0,public,True
301,female,group E,,free/reduced,True,0.0,9.4,66.0,77.0,97.0,public,
302,female,group E,,standard,False,,8.4,69.0,55.0,76.0,public,True
303,female,group E,some college,standard,True,7.1,8.2,46.0,75.0,58.0,public,True
304,male,group B,associate degree,free/reduced,True,8.9,6.3,84.0,81.0,64.0,public,True
305,female,group A,,free/reduced,False,16.0,5.4,83.0,69.0,70.0,public,True
306,female,group B,master degree,free/reduced,False,7.0,7.4,70.0,57.0,56.0,public,True
307,male,group C,high school,free/reduced,True,6.7,4.8,64.0,90.0,73.0,public,True
308,female,group D,,standard,True,10.3,8.4,78.0,97.0,75.0,private,True
309,female,group A,,free/reduced,True,13.4,8.9,72.0,76.0,96.0,public,True
310,male,group C,,standard,True,,8.2,63.0,86.0,70.0,public,True
311,female,group E,bachelor degree,standard,False,15.0,8.0,92.0,47.0,69.0,public,False
312,female,group A,some college,standard,False,5.7,6.2,74.0,54.0,100.0,public,True
313,female,group A,some college,standard,False,11.7,4.2,86.0,74.0,84.0,public,True
314,female,group B,high school,free/reduced,True,9.2,6.7,33.0,68.0,75.0,private,False
315,female,group C,bachelor degree,standard,False,12.8,5.5,52.0,68.0,67.0,public,True
316,male,group D,high school,standard,False,7.0,6.2,69.0,92.0,71.0,private,True
317,male,group A,high school,free/reduced,True,4.5,9.2,63.0,,75.0,private,True
318,male,group B,,standard,False,11.5,8.4,55.0,75.0,74.0,public,True
319,female,group B,some college,free/reduced,True,4.3,8.6,90.0,91.0,68.0,public,True
320,female,group E,,standard,False,2.4,10.3,74.0,73.0,65.0,public,True
321,male,group A,high school,standard,True,11.2,8.0,97.0,,93.0,public,True
322,male,group A,bachelor degree,standard,True,12.0,7.0,79.0,64.0,,public,True
323,female,group C,bachelor degree,free/reduced,True,,5.3,77.0,73.0,49.0,public,True
324,female,group E,,standard,True,11.6,6.4,52.0,47.0,63.0,public,True
325,female,group B,high school,standard,False,4.6,6.9,86.0,71.0,88.0,public,True
326,female,group B,bachelor degree,standard,False,6.6,6.1,90.0,61.0,54.0,private,True
327,female,group D,high school,standard,False,,6.7,41.0,88.0,42.0,public,False
328,female,group C,bachelor degree,standard,True,14.5,5.1,73.0,61.0,94.0,public,True
329,female,group B,bachelor degree,standard,False,6.4,7.5,79.0,49.0,71.0,public,
330,female,group B,some college,free/reduced,True,4.9,7.4,41.0,64.0,63.0,private,True
331,female,group E,some college,free/reduced,True,8.6,6.7,77.0,83.0,66.0,public,True
332,male,group E,some college,free/reduced,True,8.7,7.7,95.0,66.0,64.0,private,False
333,male,group B,some college,standard,False,17.5,5.8,73.0,74.0,,public,True
334,male,group D,some college,free/reduced,True,0.0,9.3,61.0,74.0,92.0,public,True
335,female,group C,,standard,True,7.5,9.1,61.0,95.0,,international,True
336,male,group E,,,False,21.2,,79.0,63.0,48.0,private,True
337,male,group E,,free/reduced,True,6.0,6.6,64.0,56.0,87.0,public,True
338,male,group C,associate degree,standard,False,5.7,7.0,49.0,,68.0,private,True
339,female,group C,high school,free/reduced,True,10.8,6.6,50.0,44.0,55.0,public,True
340,male,group A,some college,,True,13.2,7.6,73.0,91.0,68.0,public,True
341,female,group C,high school,standard,True,7.3,9.8,90.0,74.0,82.0,public,True
342,female,group B,high school,standard,False,11.7,5.6,93.0,85.0,66.0,private,True
343,female,group B,high school,standard,False,15.3,5.4,62.0,44.0,91.0,international,True
344,male,group D,some college,standard,True,22.7,6.7,68.0,68.0,62.0,public,True
345,female,group D,bachelor degree,standard,True,1.9,5.4,62.0,76.0,77.0,private,False
346,male,group E,high school,standard,False,,6.4,43.0,79.0,44.0,public,True
347,male,group C,some college,standard,False,14.1,5.6,48.0,59.0,68.0,public,True
348,female,group B,,free/reduced,False,10.0,8.1,56.0,77.0,65.0,public,True
